model_name,tm_score
afm_dropout_full_model_1_multimer_v1_pred_15.pdb,0.919
afm_dropout_full_model_4_multimer_v3_pred_54.pdb,0.919
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_26.pdb,0.919
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_3.pdb,0.919
afm_basic_model_4_multimer_v3_pred_17.pdb,0.918
afm_dropout_full_model_4_multimer_v3_pred_40.pdb,0.918
afm_basic_model_4_multimer_v3_pred_4.pdb,0.918
afm_dropout_full_model_4_multimer_v3_pred_7.pdb,0.918
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_40.pdb,0.918
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_33.pdb,0.918
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_22.pdb,0.918
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_55.pdb,0.918
afm_basic_model_1_multimer_v1_pred_49.pdb,0.918
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_29.pdb,0.918
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_53.pdb,0.918
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_60.pdb,0.918
afm_basic_model_2_multimer_v3_pred_40.pdb,0.918
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_55.pdb,0.918
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_37.pdb,0.918
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_15.pdb,0.918
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_61.pdb,0.918
afm_basic_model_3_multimer_v3_pred_17.pdb,0.918
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_23.pdb,0.918
afm_dropout_full_model_1_multimer_v1_pred_21.pdb,0.918
afm_dropout_full_model_4_multimer_v3_pred_8.pdb,0.918
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_14.pdb,0.918
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_65.pdb,0.917
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.917
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_33.pdb,0.917
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_64.pdb,0.917
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_36.pdb,0.917
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_66.pdb,0.917
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_46.pdb,0.917
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_32.pdb,0.917
afm_woTemplates_model_4_multimer_v1_pred_24.pdb,0.917
afm_woTemplates_model_3_multimer_v1_pred_54.pdb,0.917
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_32.pdb,0.917
afm_dropout_full_model_4_multimer_v3_pred_45.pdb,0.917
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_35.pdb,0.917
afm_woTemplates_model_4_multimer_v3_pred_23.pdb,0.917
