model_name,oligo_gdtts
afm_basic_model_5_ptm_pred_115.pdb,0.707
afm_basic_model_5_ptm_pred_38.pdb,0.705
afm_basic_model_5_ptm_pred_39.pdb,0.705
afm_dropout_full_model_5_ptm_pred_134.pdb,0.705
afm_dropout_full_woTemplates_model_3_ptm_pred_19.pdb,0.703
afm_woTemplates_model_5_ptm_pred_192.pdb,0.703
afm_basic_model_5_ptm_pred_156.pdb,0.701
afm_dropout_noSM_woTemplates_model_3_ptm_pred_161.pdb,0.701
afm_dropout_full_model_5_ptm_pred_197.pdb,0.701
afm_dropout_noSM_woTemplates_model_5_ptm_pred_129.pdb,0.701
afm_dropout_full_woTemplates_model_5_ptm_pred_36.pdb,0.699
afm_dropout_noSM_woTemplates_model_5_ptm_pred_157.pdb,0.699
afm_dropout_full_model_5_ptm_pred_120.pdb,0.699
afm_basic_model_5_ptm_pred_112.pdb,0.697
cf_woTemplates_model_3_ptm_pred_138.pdb,0.697
afm_woTemplates_model_5_ptm_pred_138.pdb,0.697
afm_dropout_noSM_woTemplates_model_5_ptm_pred_175.pdb,0.697
afm_dropout_full_woTemplates_r3_model_5_ptm_pred_7.pdb,0.697
cf_dropout_full_woTemplates_model_3_ptm_pred_154.pdb,0.693
afm_woTemplates_model_5_ptm_pred_127.pdb,0.693
afm_basic_model_5_ptm_pred_193.pdb,0.691
afm_basic_model_5_ptm_pred_138.pdb,0.691
afm_dropout_noSM_woTemplates_model_5_ptm_pred_170.pdb,0.689
afm_dropout_full_woTemplates_model_5_ptm_pred_44.pdb,0.689
afm_dropout_full_model_5_ptm_pred_35.pdb,0.689
afm_dropout_full_woTemplates_model_5_ptm_pred_19.pdb,0.689
afm_dropout_full_woTemplates_model_5_ptm_pred_145.pdb,0.689
afm_dropout_full_woTemplates_model_5_ptm_pred_178.pdb,0.686
afm_dropout_full_model_3_ptm_pred_172.pdb,0.686
cf_woTemplates_model_3_ptm_pred_116.pdb,0.686
afm_dropout_full_model_5_ptm_pred_158.pdb,0.686
cf_woTemplates_model_3_ptm_pred_5.pdb,0.684
afm_dropout_full_model_5_ptm_pred_67.pdb,0.684
afm_dropout_noSM_woTemplates_model_5_ptm_pred_139.pdb,0.684
afm_dropout_full_woTemplates_model_3_ptm_pred_4.pdb,0.684
afm_dropout_full_model_5_ptm_pred_30.pdb,0.684
afm_woTemplates_model_5_ptm_pred_33.pdb,0.684
afm_basic_model_5_ptm_pred_56.pdb,0.684
afm_dropout_full_woTemplates_model_5_ptm_pred_110.pdb,0.684
afm_basic_model_5_ptm_pred_161.pdb,0.682
afm_dropout_full_woTemplates_model_5_ptm_pred_60.pdb,0.68
afm_dropout_full_woTemplates_model_5_ptm_pred_128.pdb,0.68
afm_dropout_full_woTemplates_model_5_ptm_pred_123.pdb,0.68
afm_woTemplates_model_5_ptm_pred_180.pdb,0.68
afm_basic_model_3_ptm_pred_123.pdb,0.68
afm_woTemplates_model_5_ptm_pred_46.pdb,0.68
cf_dropout_full_woTemplates_model_3_ptm_pred_181.pdb,0.678
cf_woTemplates_model_3_ptm_pred_133.pdb,0.678
afm_dropout_full_woTemplates_model_5_ptm_pred_32.pdb,0.676
afm_woTemplates_model_5_ptm_pred_145.pdb,0.676
afm_dropout_full_woTemplates_model_5_ptm_pred_169.pdb,0.676
afm_dropout_full_woTemplates_model_5_ptm_pred_194.pdb,0.674
afm_woTemplates_model_5_ptm_pred_169.pdb,0.674
cf_woTemplates_model_3_ptm_pred_90.pdb,0.674
cf_dropout_full_woTemplates_model_3_ptm_pred_86.pdb,0.674
afm_dropout_noSM_woTemplates_model_5_ptm_pred_1.pdb,0.674
afm_woTemplates_model_5_ptm_pred_161.pdb,0.674
afm_woTemplates_model_5_ptm_pred_134.pdb,0.674
afm_woTemplates_model_5_ptm_pred_178.pdb,0.672
afm_dropout_full_model_5_ptm_pred_174.pdb,0.672
cf_woTemplates_model_3_ptm_pred_135.pdb,0.672
afm_dropout_full_woTemplates_model_5_ptm_pred_107.pdb,0.67
afm_basic_model_5_ptm_pred_143.pdb,0.67
afm_dropout_full_woTemplates_model_5_ptm_pred_127.pdb,0.67
afm_dropout_full_model_5_ptm_pred_57.pdb,0.67
afm_woTemplates_model_5_ptm_pred_59.pdb,0.67
afm_dropout_full_woTemplates_model_5_ptm_pred_168.pdb,0.67
afm_dropout_noSM_woTemplates_model_5_ptm_pred_48.pdb,0.67
afm_dropout_noSM_woTemplates_model_5_ptm_pred_24.pdb,0.67
afm_basic_model_5_ptm_pred_69.pdb,0.67
afm_basic_model_5_ptm_pred_182.pdb,0.668
afm_dropout_noSM_woTemplates_model_5_ptm_pred_68.pdb,0.668
cf_woTemplates_model_3_ptm_pred_53.pdb,0.668
afm_woTemplates_model_5_ptm_pred_143.pdb,0.668
afm_dropout_full_woTemplates_model_5_ptm_pred_141.pdb,0.668
afm_dropout_noSM_woTemplates_model_3_ptm_pred_43.pdb,0.666
afm_dropout_full_model_5_ptm_pred_64.pdb,0.666
afm_basic_model_5_ptm_pred_77.pdb,0.664
afm_basic_model_5_ptm_pred_131.pdb,0.664
afm_dropout_full_woTemplates_model_3_ptm_pred_156.pdb,0.664
cf_dropout_full_woTemplates_model_3_ptm_pred_12.pdb,0.664
afm_woTemplates_model_5_ptm_pred_191.pdb,0.664
afm_dropout_full_model_5_ptm_pred_167.pdb,0.664
