model_name,ips
afm_dropout_full_model_2_multimer_v2_pred_16.pdb,0.792
cf_woTemplates_model_5_multimer_v2_pred_2.pdb,0.792
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_56.pdb,0.791
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_59.pdb,0.791
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_25.pdb,0.791
afm_dropout_full_model_5_multimer_v2_pred_3.pdb,0.791
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_36.pdb,0.791
cf_woTemplates_model_5_multimer_v2_pred_31.pdb,0.791
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_10.pdb,0.791
afm_dropout_full_model_5_multimer_v2_pred_36.pdb,0.791
afm_basic_model_5_multimer_v2_pred_7.pdb,0.791
afm_woTemplates_model_5_multimer_v2_pred_10.pdb,0.791
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_57.pdb,0.791
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_33.pdb,0.791
afm_basic_model_5_multimer_v2_pred_43.pdb,0.791
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_51.pdb,0.791
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_45.pdb,0.791
afm_dropout_full_model_5_multimer_v2_pred_34.pdb,0.791
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_9.pdb,0.791
afm_basic_model_5_multimer_v2_pred_66.pdb,0.791
afm_woTemplates_model_5_multimer_v2_pred_35.pdb,0.791
afm_dropout_full_model_5_multimer_v2_pred_18.pdb,0.791
