model_name,rmsd
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_23.pdb,66.762
afm_woTemplates_model_4_multimer_v2_pred_27.pdb,66.666
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_28.pdb,66.523
afm_basic_model_2_multimer_v2_pred_28.pdb,66.459
afm_dropout_full_model_4_multimer_v2_pred_56.pdb,66.417
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_53.pdb,66.105
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_12.pdb,66.09
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_20.pdb,66.038
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_34.pdb,65.97
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_59.pdb,65.928
afm_woTemplates_model_4_multimer_v2_pred_19.pdb,65.859
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_37.pdb,65.744
afm_basic_model_4_multimer_v2_pred_62.pdb,65.64
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_44.pdb,65.6
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_63.pdb,65.394
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_50.pdb,65.126
afm_basic_model_4_multimer_v2_pred_4.pdb,65.025
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_50.pdb,65.013
afm_dropout_full_model_4_multimer_v2_pred_59.pdb,65.009
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_11.pdb,64.962
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_48.pdb,64.959
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_17.pdb,64.902
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_60.pdb,64.901
afm_basic_model_2_multimer_v2_pred_62.pdb,64.89
cf_woTemplates_model_4_multimer_v2_pred_46.pdb,64.822
afm_woTemplates_model_4_multimer_v2_pred_52.pdb,64.799
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_49.pdb,64.71
afm_woTemplates_model_4_multimer_v2_pred_32.pdb,64.575
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_58.pdb,64.473
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_63.pdb,64.425
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_21.pdb,64.167
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_39.pdb,64.095
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_39.pdb,64.042
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_61.pdb,64.032
afm_basic_model_2_multimer_v2_pred_35.pdb,64.022
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,63.98
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_37.pdb,63.876
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_4.pdb,63.746
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_51.pdb,63.697
afm_basic_model_4_multimer_v2_pred_51.pdb,63.658
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_59.pdb,63.642
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_59.pdb,63.628
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_20.pdb,63.583
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_61.pdb,63.446
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_7.pdb,63.401
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_1.pdb,63.386
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_45.pdb,63.313
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_52.pdb,63.162
