model_name,ips
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_11.pdb,0.226
afm_basic_model_1_multimer_v3_pred_16.pdb,0.226
afm_basic_model_1_multimer_v2_pred_3.pdb,0.226
afm_basic_model_4_multimer_v3_pred_20.pdb,0.226
afm_dropout_full_model_1_multimer_v2_pred_52.pdb,0.226
afm_dropout_full_model_2_multimer_v3_pred_66.pdb,0.226
afm_basic_model_4_multimer_v3_pred_47.pdb,0.225
afm_basic_model_3_multimer_v3_pred_59.pdb,0.225
afm_basic_model_4_multimer_v3_pred_42.pdb,0.225
afm_woTemplates_model_3_multimer_v2_pred_41.pdb,0.225
afm_dropout_full_model_3_multimer_v3_pred_15.pdb,0.225
afm_basic_model_1_multimer_v2_pred_16.pdb,0.225
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.225
afm_basic_model_3_multimer_v3_pred_56.pdb,0.225
afm_dropout_full_model_3_multimer_v3_pred_6.pdb,0.225
afm_dropout_full_model_4_multimer_v3_pred_49.pdb,0.225
afm_dropout_full_model_1_multimer_v2_pred_8.pdb,0.225
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_53.pdb,0.225
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_59.pdb,0.224
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_49.pdb,0.224
afm_dropout_full_model_2_multimer_v3_pred_35.pdb,0.224
afm_basic_model_5_multimer_v3_pred_19.pdb,0.224
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_59.pdb,0.224
afm_basic_model_4_multimer_v3_pred_44.pdb,0.224
afm_dropout_full_model_3_multimer_v3_pred_22.pdb,0.224
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_39.pdb,0.224
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_35.pdb,0.224
afm_dropout_full_model_1_multimer_v2_pred_23.pdb,0.224
afm_dropout_full_model_2_multimer_v3_pred_53.pdb,0.224
afm_dropout_full_model_3_multimer_v3_pred_55.pdb,0.224
afm_dropout_full_model_2_multimer_v3_pred_2.pdb,0.224
afm_basic_model_5_multimer_v3_pred_11.pdb,0.224
afm_basic_model_3_multimer_v3_pred_3.pdb,0.224
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_59.pdb,0.224
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.224
afm_dropout_full_model_5_multimer_v3_pred_36.pdb,0.223
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_0.pdb,0.223
afm_basic_model_4_multimer_v2_pred_41.pdb,0.223
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.223
afm_dropout_full_model_5_multimer_v3_pred_28.pdb,0.223
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_35.pdb,0.223
afm_dropout_full_model_2_multimer_v3_pred_46.pdb,0.223
afm_basic_model_4_multimer_v3_pred_60.pdb,0.223
cf_woTemplates_model_1_multimer_v3_pred_47.pdb,0.223
afm_basic_model_5_multimer_v3_pred_8.pdb,0.223
afm_basic_model_4_multimer_v3_pred_9.pdb,0.223
afm_dropout_full_model_3_multimer_v3_pred_35.pdb,0.223
afm_dropout_full_model_1_multimer_v2_pred_32.pdb,0.223
afm_basic_model_3_multimer_v3_pred_39.pdb,0.222
afm_dropout_full_model_2_multimer_v3_pred_18.pdb,0.222
afm_dropout_full_model_5_multimer_v3_pred_13.pdb,0.222
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_26.pdb,0.222
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_12.pdb,0.222
afm_woTemplates_model_3_multimer_v2_pred_13.pdb,0.222
