model_name,oligo_gdtha
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_0.pdb,0.023
afm_dropout_full_model_4_multimer_v1_pred_0.pdb,0.022
afm_dropout_full_model_4_multimer_v1_pred_2.pdb,0.021
afm_basic_model_4_multimer_v1_pred_2.pdb,0.02
afm_basic_model_4_multimer_v1_pred_1.pdb,0.02
afm_basic_model_4_multimer_v1_pred_0.pdb,0.02
afm_dropout_full_model_4_multimer_v1_pred_1.pdb,0.019
afm_dropout_full_model_4_multimer_v1_pred_3.pdb,0.019
afm_dropout_full_model_4_multimer_v1_pred_4.pdb,0.019
afm_basic_model_4_multimer_v1_pred_3.pdb,0.018
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.015
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_4.pdb,0.015
afm_woTemplates_model_4_multimer_v1_pred_4.pdb,0.013
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_2.pdb,0.013
afm_woTemplates_model_4_multimer_v1_pred_1.pdb,0.012
afm_woTemplates_model_4_multimer_v1_pred_2.pdb,0.012
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_3.pdb,0.012
afm_woTemplates_model_4_multimer_v1_pred_0.pdb,0.012
afm_basic_model_4_multimer_v1_pred_4.pdb,0.012
cf_woTemplates_model_4_multimer_v1_pred_4.pdb,0.012
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,0.012
cf_woTemplates_model_4_multimer_v1_pred_0.pdb,0.011
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_1.pdb,0.011
afm_dropout_full_model_5_multimer_v1_pred_1.pdb,0.011
afm_dropout_full_model_5_multimer_v1_pred_3.pdb,0.01
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.01
afm_dropout_full_model_5_multimer_v1_pred_4.pdb,0.01
afm_dropout_full_model_5_multimer_v1_pred_2.pdb,0.01
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,0.01
cf_woTemplates_model_5_multimer_v1_pred_3.pdb,0.01
afm_dropout_full_model_5_multimer_v1_pred_0.pdb,0.01
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_3.pdb,0.01
afm_woTemplates_model_4_multimer_v1_pred_3.pdb,0.01
afm_woTemplates_model_5_multimer_v1_pred_1.pdb,0.009
cf_woTemplates_model_4_multimer_v1_pred_3.pdb,0.009
afm_woTemplates_model_5_multimer_v1_pred_0.pdb,0.009
afm_woTemplates_model_5_multimer_v1_pred_2.pdb,0.009
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.009
